targets,runtime
0,0.009481999999999999
50,0.10583999999999999
100,0.202145
150,0.304164
200,0.39225699999999997
250,0.511716
300,0.603661
350,0.709388
400,0.763052
450,0.830052
500,0.9686279999999999
550,1.032814
600,1.145497
650,1.260454
700,1.402733
750,1.4780719999999998
800,1.5494809999999999
850,1.639371
900,1.720645
950,1.8454979999999999
1000,1.871014
